Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°),Start Time(s),X(°),Y(°)
52.0,58.56305220560171,33.829826366622,52.0,59.674083242891356,37.10111604304984,52.0,49.88939069118351,33.797751921694726,52,39.99509196053259,48.60574859380722,52.0,64.57978447014466,44.1500043226406,52.0,56.9606906309491,37.4445281252265
53.0,58.56305220560171,33.829826366622,53.0,59.53152432478964,37.15421456005424,53.0,49.93630118994042,33.81700796354562,53,39.99509196053259,48.60574859380722,53.0,64.57978447014466,44.1500043226406,53.0,56.872352165868506,37.073415665421635
54.0,58.56305220560171,33.829826366622,54.0,59.27585125132464,36.42917025042698,54.0,49.841261919704266,33.852407061029226,54,39.99509196053259,48.60574859380722,54.0,64.57978447014466,44.1500043226406,54.0,56.32587386551313,35.844541892409325
55.0,58.56305220560171,33.829826366622,55.0,59.99260553729255,35.923466332722455,55.0,49.80826239497401,33.944277212489396,55,39.99509196053259,48.60574859380722,55.0,64.57978447014466,44.1500043226406,55.0,56.19671648868825,35.08461748436093
56.0,58.56305220560171,33.829826366622,56.0,60.662144835456274,35.416984169743955,56.0,49.69596190028824,34.071805865038186,56,39.99509196053259,48.60574859380722,56.0,64.57978447014466,44.1500043226406,56.0,56.12777131679468,34.492030932568014
57.0,58.56305220560171,33.829826366622,57.0,61.12403966789134,35.09190738154575,57.0,49.56822768226266,34.180597316939384,57,39.99509196053259,48.60574859380722,57.0,64.57978447014466,44.1500043226406,57.0,56.05364827415906,34.21356688765809
58.0,58.56305220560171,33.829826366622,58.0,61.456677235197276,34.968010902870446,58.0,49.40932126122061,34.27039215620607,58,39.99509196053259,48.60574859380722,58.0,64.12306794035248,44.16095842560753,58.0,56.104518302483484,33.99261162336916
59.0,58.56305220560171,33.829826366622,59.0,62.071082237758674,34.94117319956422,59.0,49.235285686911084,34.32297198660672,59,39.99509196053259,48.60574859380722,59.0,63.79164900747128,44.21094363229349,59.0,56.217427951516584,33.82812744053081
60.0,58.56305220560171,33.829826366622,60.0,62.871301578590646,35.1022267146036,60.0,48.981340012396686,34.44816592242569,60,39.99509196053259,48.60574859380722,60.0,63.79164900747128,44.21094363229349,60.0,56.220778334653005,33.624871691223234
61.0,58.56305220560171,33.829826366622,61.0,63.46509469929151,35.37077438645065,61.0,48.79217519471422,34.46353076258674,61,39.99509196053259,48.60574859380722,61.0,63.666656101471744,44.153434752020985,61.0,55.66871758468915,33.689703030046076
62.0,58.56305220560171,33.829826366622,62.0,63.46326713776216,35.48164115799591,62.0,48.57275196444243,34.40446559712291,62,39.99509196053259,48.60574859380722,62.0,63.666656101471744,44.153434752020985,62.0,55.1808285190491,33.68166090827435
63.0,58.56305220560171,33.829826366622,63.0,63.279280384304,35.18288320209831,63.0,48.213510937290266,34.23219896201044,63,39.99509196053259,48.60574859380722,63.0,63.666656101471744,44.153434752020985,63.0,54.31796019501053,33.50109253358096
64.0,58.56305220560171,33.829826366622,64.0,62.924303899053484,34.751926908269525,64.0,47.963829187327065,34.09870380535722,64,39.99509196053259,48.60574859380722,64.0,63.666656101471744,44.153434752020985,64.0,53.706905484199524,33.32467496069148
65.0,58.56305220560171,33.829826366622,65.0,62.42707299918402,34.355591306928545,65.0,47.34942422120366,34.12554235989228,65,39.99509196053259,48.60574859380722,65.0,63.666656101471744,44.153434752020985,65.0,53.58556720230263,33.045432675629854
66.0,58.56305220560171,33.829826366622,66.0,62.19312980910763,34.22235522652045,66.0,46.71988999878522,34.11516594560817,66,39.99509196053259,48.60574859380722,66.0,63.666656101471744,44.153434752020985,66.0,53.4484906187281,32.76593097206205
67.0,58.56305220560171,33.829826366622,67.0,62.02153078827541,34.127112485002726,67.0,46.13665725046303,34.161001180298626,67,39.99509196053259,48.60574859380722,67.0,63.666656101471744,44.153434752020985,67.0,53.30897742602974,32.634251626208425
68.0,58.56305220560171,33.829826366622,68.0,61.406821145094,34.17242798162624,68.0,46.08426463406067,34.47434545494616,68,39.99509196053259,48.60574859380722,68.0,63.666656101471744,44.153434752020985,68.0,53.30897742602974,32.634251626208425
69.0,58.56305220560171,33.829826366622,69.0,61.16983204334974,34.22396988142282,69.0,46.10843182099052,34.91833133576438,69,39.99509196053259,48.60574859380722,69.0,63.67752095393371,44.449338908772916,69.0,53.30897742602974,32.634251626208425
70.0,58.56305220560171,33.829826366622,70.0,60.97579376632348,34.53497920976952,70.0,45.93195978354197,35.11873357417062,70,39.99509196053259,48.60574859380722,70.0,64.01645407476462,44.89851361140609,70.0,53.30897742602974,32.634251626208425
71.0,58.56305220560171,33.829826366622,71.0,60.611374925705604,34.676834649872035,71.0,45.67435943731107,35.465661134105176,71,39.99509196053259,48.60574859380722,71.0,64.31182739813812,45.12517647026107,71.0,53.30897742602974,32.634251626208425
72.0,58.56305220560171,33.829826366622,72.0,59.979099417920224,34.83275756938383,72.0,45.87286681798287,35.83858932880685,72,39.99509196053259,48.60574859380722,72.0,64.31182739813812,45.12517647026107,72.0,53.30897742602974,32.634251626208425
73.0,58.56305220560171,33.829826366622,73.0,59.803236266365275,34.99620399158448,73.0,45.63405048591085,36.00099835032597,73,39.99509196053259,48.60574859380722,73.0,64.31182739813812,45.12517647026107,73.0,53.30897742602974,32.634251626208425
74.0,58.56305220560171,33.829826366622,74.0,59.74089199327864,34.958210673648864,74.0,45.75325691374019,36.40958509687334,74,39.99509196053259,48.60574859380722,74.0,64.31182739813812,45.12517647026107,74.0,51.60801653692033,32.68014559522271
75.0,58.56305220560171,33.829826366622,75.0,59.59863762976602,34.99283140199259,75.0,45.96932993060909,36.67190593620762,75,39.99509196053259,48.60574859380722,75.0,64.31182739813812,45.12517647026107,75.0,52.02899274043739,32.92736120522022
76.0,58.56305220560171,33.829826366622,76.0,59.474253759137355,34.89836698304862,76.0,45.858552413992584,36.70704567199573,76,39.99509196053259,48.60574859380722,76.0,64.31182739813812,45.12517647026107,76.0,51.94847355154343,33.036930883768946
77.0,58.56305220560171,33.829826366622,77.0,59.474253759137355,34.89836698304862,77.0,45.77803322742693,36.816615395247936,77,39.99509196053259,48.60574859380722,77.0,64.31182739813812,45.12517647026107,77.0,51.80286890279967,33.27480744570494
78.0,58.56305220560171,33.829826366622,78.0,59.474253759137355,34.89836698304862,78.0,45.616995048942044,37.03575484408066,78,39.99509196053259,48.60574859380722,78.0,64.31182739813812,45.12517647026107,78.0,51.80286890279967,33.27480744570494
79.0,58.56305220560171,33.829826366622,79.0,59.474253759137355,34.89836698304862,79.0,45.40782804938499,37.309549453668296,79,39.99509196053259,48.60574859380722,79.0,64.31182739813812,45.12517647026107,79.0,51.80286890279967,33.27480744570494
80.0,58.56305220560171,33.829826366622,80.0,59.474253759137355,34.89836698304862,80.0,45.34213356953114,37.474811969324946,80,39.99509196053259,48.60574859380722,80.0,64.31182739813812,45.12517647026107,80.0,51.80286890279967,33.27480744570494
81.0,58.56305220560171,33.829826366622,81.0,59.474253759137355,34.89836698304862,81.0,45.22952869965229,37.620818466413766,81,39.99509196053259,48.60574859380722,81.0,64.08692174823955,45.39871127624065,81.0,51.80286890279967,33.27480744570494
82.0,58.56305220560171,33.829826366622,82.0,59.474253759137355,34.89836698304862,82.0,44.88145762484055,37.72597826644778,82,39.99509196053259,48.60574859380722,82.0,63.878972766920924,45.59859434841201,82.0,51.80286890279967,33.27480744570494
83.0,58.56305220560171,33.829826366622,83.0,59.474253759137355,34.89836698304862,83.0,44.62812121096067,37.81421672180295,83,39.99509196053259,48.60574859380722,83.0,63.83145315840375,45.61629382520914,83.0,51.80286890279967,33.27480744570494
84.0,58.56305220560171,33.829826366622,84.0,59.474253759137355,34.89836698304862,84.0,44.360873868805356,37.791329021099955,84,39.99509196053259,48.60574859380722,84.0,63.78393354732543,45.63399331411347,84.0,51.80286890279967,33.27480744570494
85.0,58.56305220560171,33.829826366622,85.0,59.474253759137355,34.89836698304862,85.0,44.08966726460494,38.008652647491544,85,39.99509196053259,48.60574859380722,85.0,63.42256099288352,45.5910706827417,85.0,51.80286890279967,33.27480744570494
86.0,58.56305220560171,33.829826366622,86.0,59.474253759137355,34.89836698304862,86.0,43.92406066739932,38.50495903659612,86,39.99509196053259,48.60574859380722,86.0,63.04209953395184,45.75114437472075,86.0,51.80286890279967,33.27480744570494
87.0,58.56305220560171,33.829826366622,87.0,59.474253759137355,34.89836698304862,87.0,44.36981314688455,39.15920461434871,87,39.99509196053259,48.60574859380722,87.0,62.61442307359539,45.910439774394035,87.0,51.80286890279967,33.27480744570494
88.0,58.56305220560171,33.829826366622,88.0,59.474253759137355,34.89836698304862,88.0,44.3964169510873,39.45536814304069,88,39.99509196053259,48.60574859380722,88.0,62.18826958956197,45.97734620794654,88.0,51.80286890279967,33.27480744570494
89.0,58.56305220560171,33.829826366622,89.0,59.474253759137355,34.89836698304862,89.0,44.20268384832889,39.747899966780096,89,39.99509196053259,48.60574859380722,89.0,62.18826958956197,45.97734620794654,89.0,51.80286890279967,33.27480744570494
90.0,58.56305220560171,33.829826366622,90.0,59.474253759137355,34.89836698304862,90.0,44.16907518100925,39.87672571791336,90,39.99509196053259,48.60574859380722,90.0,62.18826958956197,45.97734620794654,90.0,51.80286890279967,33.27480744570494
91.0,58.56305220560171,33.829826366622,91.0,59.474253759137355,34.89836698304862,91.0,44.15272778016515,39.913421898614615,91,39.99509196053259,48.60574859380722,91.0,62.18826958956197,45.97734620794654,91.0,51.80286890279967,33.27480744570494
92.0,58.56305220560171,33.829826366622,92.0,59.474253759137355,34.89836698304862,92.0,44.24989888735581,39.74867818551138,92,39.99509196053259,48.60574859380722,92.0,62.18826958956197,45.97734620794654,92.0,51.80286890279967,33.27480744570494
93.0,58.56305220560171,33.829826366622,93.0,59.474253759137355,34.89836698304862,93.0,44.566188573255204,39.661477350629866,93,39.99509196053259,48.60574859380722,93.0,62.18826958956197,45.97734620794654,93.0,51.80286890279967,33.27480744570494
94.0,58.56305220560171,33.829826366622,94.0,59.474253759137355,34.89836698304862,94.0,45.46236061176751,39.73169696656987,94,39.99509196053259,48.60574859380722,94.0,62.18826958956197,45.97734620794654,94.0,51.80286890279967,33.27480744570494
95.0,58.56305220560171,33.829826366622,95.0,59.474253759137355,34.89836698304862,95.0,45.53678844915703,39.991683127358556,95,39.99509196053259,48.60574859380722,95.0,62.18826958956197,45.97734620794654,95.0,51.80286890279967,33.27480744570494
96.0,58.56305220560171,33.829826366622,96.0,59.474253759137355,34.89836698304862,96.0,45.73620942002162,40.30917795281857,96,39.99509196053259,48.60574859380722,96.0,62.18826958956197,45.97734620794654,96.0,51.80286890279967,33.27480744570494
97.0,58.56305220560171,33.829826366622,97.0,59.474253759137355,34.89836698304862,97.0,46.12540420261212,40.57435229746625,97,39.99509196053259,48.60574859380722,97.0,62.18826958956197,45.97734620794654,97.0,51.80286890279967,33.27480744570494
