second	id	x	y	z
2205	1	-448.1444	-0.6139	52461.0737	0
2206	1	-448.1452	-0.6139	52461.0706	0
2207	1	-448.1415	-0.6139	52461.0761	0
2208	1	-448.1481	-0.6139	52461.0783	0
2209	1	-448.1460	-0.6139	52461.0725	0
2210	1	-448.1390	-0.6139	52461.0638	0
2211	1	-448.1284	-0.6139	52461.0539	0
2212	1	-448.1232	-0.6139	52461.0437	0
2213	1	-448.1183	-0.6139	52461.0400	0
2214	1	-448.1128	-0.6139	52461.0453	0
2215	1	-448.1225	-0.6139	52461.0475	0
2216	1	-448.1387	-0.6139	52461.0418	0
2217	1	-448.1454	-0.6139	52461.0331	0
2218	1	-448.1613	-0.6139	52461.0234	0
2219	1	-448.1622	-0.6139	52461.0133	0
2220	1	-448.1603	-0.6139	52461.0226	0
2221	1	-448.1598	-0.6139	52461.0264	0
2222	1	-448.1543	-0.6139	52461.0213	0
2223	1	-448.1493	-0.6139	52461.0195	0
2224	1	-448.1472	-0.6139	52461.0123	0
2225	1	-448.1562	-0.6139	52461.0097	0
2226	1	-448.1727	-0.6139	52461.0089	0
2227	1	-448.1924	-0.6139	52461.0153	0
2228	1	-448.2113	-0.6139	52461.0178	0
2229	1	-448.2287	-0.6139	52461.0122	0
2230	1	-448.2385	-0.6139	52461.0101	0
2231	1	-448.2629	-0.6139	52461.0028	0
2232	1	-448.2833	-0.6139	52461.0001	0
2233	1	-448.2938	-0.6139	52460.9992	0
2234	1	-448.3063	-0.6139	52460.9989	0
2235	1	-448.3109	-0.6139	52460.9989	0
2236	1	-448.3212	-0.6139	52461.0057	0
2237	1	-448.3373	-0.6139	52460.9950	0
2238	1	-448.3389	-0.6139	52460.9910	0
2239	1	-448.3545	-0.6139	52460.9896	0
2240	1	-448.3698	-0.6139	52461.0024	0
2241	1	-448.3743	-0.6139	52460.9940	0
2242	1	-448.3894	-0.6139	52460.9909	0
2243	1	-448.4021	-0.6139	52460.9898	0
2244	1	-448.4049	-0.6139	52460.9960	0
2245	1	-448.4069	-0.6139	52460.9985	0
2246	1	-448.4069	-0.6139	52460.9928	0
2247	1	-448.4104	-0.6139	52460.9972	0
2248	1	-448.4146	-0.6139	52460.9923	0
2249	1	-448.4208	-0.6139	52460.9905	0
2250	1	-448.4319	-0.6139	52460.9833	0
2251	1	-448.4414	-0.6139	52460.9806	0
2252	1	-448.4413	-0.6139	52460.9862	0
2253	1	-448.4503	-0.6139	52460.9818	0
2254	1	-448.4530	-0.6139	52460.9802	0
2255	1	-448.4606	-0.6139	52460.9796	0
2256	1	-448.4567	-0.6139	52460.9794	0
2257	1	-448.4441	-0.6139	52460.9794	0
2258	1	-448.4370	-0.6139	52460.9728	0
2259	1	-448.4231	-0.6139	52460.9704	0
2260	1	-448.4145	-0.6139	52460.9696	0
2261	1	-448.4053	-0.6139	52460.9693	0
2262	1	-448.3966	-0.6139	52460.9693	0
2263	1	-448.4003	-0.6139	52460.9693	0
2264	1	-448.3975	-0.6139	52460.9627	0
2265	1	-448.4031	-0.6139	52460.9537	0
2266	1	-448.4029	-0.6139	52460.9504	0
2267	1	-448.4007	-0.6139	52460.9559	0
2268	1	-448.3959	-0.6139	52460.9580	0
2269	1	-448.3867	-0.6139	52460.9523	0
2270	1	-448.3740	-0.6139	52460.9435	0
2271	1	-448.3690	-0.6139	52460.9337	0
2272	1	-448.3688	-0.6139	52460.9367	0
2273	1	-448.3659	-0.6139	52460.9380	0
2274	1	-448.3705	-0.6139	52460.9319	0
2275	1	-448.3698	-0.6139	52460.9363	0
2276	1	-448.3738	-0.6139	52460.9248	0
2277	1	-448.3836	-0.6139	52460.9139	0
2278	1	-448.3904	-0.6139	52460.9100	0
2279	1	-448.3832	-0.6139	52460.9153	0
2280	1	-448.3760	-0.6139	52460.9174	0
2281	1	-448.3680	-0.6139	52460.9117	0
2282	1	-448.3639	-0.6139	52460.8964	0
2283	1	-448.3575	-0.6139	52460.8974	0
2284	1	-448.3555	-0.6139	52460.8979	0
2285	1	-448.3389	-0.6139	52460.9114	0
2286	1	-448.3352	-0.6139	52460.9167	0
2287	1	-448.3446	-0.6139	52460.8855	0
2288	1	-448.3383	-0.6139	52460.8740	0
2289	1	-448.3347	-0.6139	52460.8697	0
2290	1	-448.3318	-0.6139	52460.8748	0
2291	1	-448.3129	-0.6139	52460.8901	0
2292	1	-448.2785	-0.6139	52460.9424	0
2293	1	-448.2900	-0.6139	52460.9151	0
2294	1	-448.2971	-0.6139	52460.8986	0
2295	1	-448.2954	-0.6139	52460.8858	0
2296	1	-448.3040	-0.6139	52460.8876	0
2297	1	-448.3064	-0.6139	52460.8884	0
2298	1	-448.3461	-0.6139	52460.8623	0
2299	1	-448.3614	-0.6139	52460.8459	0
2300	1	-448.3793	-0.6139	52460.8466	0
2301	1	-448.3852	-0.6139	52460.8405	0
2309	1	-448.3704	-0.6139	52460.8185	0
2310	1	-448.3829	-0.6139	52460.8252	0
2311	1	-448.3877	-0.6139	52460.8206	0
2312	1	-448.3850	-0.6139	52460.8057	0
2313	1	-448.3842	-0.6139	52460.8003	0
2314	1	-448.3904	-0.6139	52460.8116	0
2315	1	-448.3889	-0.6139	52460.8228	0
2322	1	-448.3835	-0.6139	52460.7813	0
2323	1	-448.3962	-0.6139	52460.7720	0
2324	1	-448.4028	-0.6139	52460.7689	0
2325	1	-448.4053	-0.6139	52460.7679	0
2326	1	-448.3976	-0.6139	52460.7678	0
2331	1	-448.3631	-0.6139	52460.7505	0
2332	1	-448.3652	-0.6139	52460.7494	0
2333	1	-448.3669	-0.6139	52460.7490	0
2334	1	-448.3716	-0.6139	52460.7489	0
2335	1	-448.3796	-0.6139	52460.7424	0
2336	1	-448.3773	-0.6139	52460.7400	0
2337	1	-448.3893	-0.6139	52460.7326	0
2338	1	-448.3867	-0.6139	52460.7431	0
2339	1	-448.3910	-0.6139	52460.7472	0
2343	1	-448.3766	-0.6139	52460.7305	0
